census_chapter,census_table,census_row,census_column,sector_desc,short_desc,commodity_desc,agg_level_desc,state_fips_code,state_alpha,state_name,county_code,county_name,domaincat_desc,value
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,29,MO,MISSOURI,,,,"95,320"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,30,MT,MONTANA,,,,"27,048"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,31,NE,NEBRASKA,,,,"46,332"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,32,NV,NEVADA,,,,"3,423"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,33,NH,NEW HAMPSHIRE,,,,"4,123"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,34,NJ,NEW JERSEY,,,,"9,883"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,35,NM,NEW MEXICO,,,,"25,044"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,36,NY,NEW YORK,,,,"33,438"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,37,NC,NORTH CAROLINA,,,,"46,418"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,38,ND,NORTH DAKOTA,,,,"26,364"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,39,OH,OHIO,,,,"77,805"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,40,OK,OKLAHOMA,,,,"78,531"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,41,OR,OREGON,,,,"37,616"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,42,PA,PENNSYLVANIA,,,,"53,157"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,44,RI,RHODE ISLAND,,,,"1,043"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,45,SC,SOUTH CAROLINA,,,,"24,791"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,46,SD,SOUTH DAKOTA,,,,"29,968"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,47,TN,TENNESSEE,,,,"69,983"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,48,TX,TEXAS,,,,"248,416"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,49,UT,UTAH,,,,"18,409"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,50,VT,VERMONT,,,,"6,808"
1,1,1,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,51,VA,VIRGINIA,,,,"43,225"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,29,MO,MISSOURI,,,,"986,481"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,30,MT,MONTANA,,,,"1,968,381"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,31,NE,NEBRASKA,,,,"2,674,492"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,32,NV,NEVADA,,,,"1,627,858"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,33,NH,NEW HAMPSHIRE,,,,"539,732"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,34,NJ,NEW JERSEY,,,,"1,000,464"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,35,NM,NEW MEXICO,,,,"845,740"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,36,NY,NEW YORK,,,,"663,082"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,37,NC,NORTH CAROLINA,,,,"843,154"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,38,ND,NORTH DAKOTA,,,,"2,546,783"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,39,OH,OHIO,,,,"1,112,700"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,40,OK,OKLAHOMA,,,,"754,099"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,41,OR,OREGON,,,,"1,032,545"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,42,PA,PENNSYLVANIA,,,,"897,125"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,44,RI,RHODE ISLAND,,,,"897,835"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,45,SC,SOUTH CAROLINA,,,,"683,873"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,46,SD,SOUTH DAKOTA,,,,"2,984,426"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,47,TN,TENNESSEE,,,,"608,739"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,48,TX,TEXAS,,,,"980,409"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,49,UT,UTAH,,,,"1,067,323"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,50,VT,VERMONT,,,,"620,691"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,51,VA,VIRGINIA,,,,"834,254"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,53,WA,WASHINGTON,,,,"1,143,889"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,54,WV,WEST VIRGINIA,,,,"411,482"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,55,WI,WISCONSIN,,,,"1,083,640"
1,1,4,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / OPERATION",AG LAND,STATE,56,WY,WYOMING,,,,"1,892,340"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,NATIONAL,99,US,US TOTAL,,,,"2,976"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,1,AL,ALABAMA,,,,"2,984"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,2,AK,ALASKA,,,,718
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,4,AZ,ARIZONA,,,,811
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,5,AR,ARKANSAS,,,,"3,163"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,6,CA,CALIFORNIA,,,,"9,353"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,8,CO,COLORADO,,,,"1,608"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,9,CT,CONNECTICUT,,,,"12,483"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,10,DE,DELAWARE,,,,"8,414"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,12,FL,FLORIDA,,,,"5,901"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,13,GA,GEORGIA,,,,"3,509"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,15,HI,HAWAII,,,,"9,328"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,16,ID,IDAHO,,,,"2,866"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,17,IL,ILLINOIS,,,,"7,278"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,18,IN,INDIANA,,,,"6,576"
1,1,5,1,ECONOMICS,"AG LAND, INCL BUILDINGS - ASSET VALUE, MEASURED IN $ / ACRE",AG LAND,STATE,19,IA,IOWA,,,,"7,062"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,10,DE,DELAWARE,,,,"456,016,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,12,FL,FLORIDA,,,,"3,462,284,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,13,GA,GEORGIA,,,,"4,912,939,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,15,HI,HAWAII,,,,"371,436,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,16,ID,IDAHO,,,,"4,397,906,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,17,IL,ILLINOIS,,,,"16,018,455,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,18,IN,INDIANA,,,,"9,241,317,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,19,IA,IOWA,,,,"19,863,940,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,20,KS,KANSAS,,,,"10,582,702,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,21,KY,KENTUCKY,,,,"6,285,402,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,22,LA,LOUISIANA,,,,"3,332,874,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,23,ME,MAINE,,,,"621,619,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,24,MD,MARYLAND,,,,"1,552,015,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,25,MA,MASSACHUSETTS,,,,"473,433,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,26,MI,MICHIGAN,,,,"7,371,356,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,27,MN,MINNESOTA,,,,"15,385,551,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,28,MS,MISSISSIPPI,,,,"3,835,415,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,29,MO,MISSOURI,,,,"9,919,476,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,30,MT,MONTANA,,,,"4,439,174,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,31,NE,NEBRASKA,,,,"12,461,806,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,32,NV,NEVADA,,,,"530,678,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,33,NH,NEW HAMPSHIRE,,,,"282,821,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,34,NJ,NEW JERSEY,,,,"855,196,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,35,NM,NEW MEXICO,,,,"1,590,916,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,36,NY,NEW YORK,,,,"4,535,052,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,37,NC,NORTH CAROLINA,,,,"5,220,962,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,38,ND,NORTH DAKOTA,,,,"9,907,233,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,39,OH,OHIO,,,,"10,084,599,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,40,OK,OKLAHOMA,,,,"7,102,490,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,41,OR,OREGON,,,,"3,773,935,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,42,PA,PENNSYLVANIA,,,,"5,795,380,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,44,RI,RHODE ISLAND,,,,"65,485,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,45,SC,SOUTH CAROLINA,,,,"2,059,479,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,46,SD,SOUTH DAKOTA,,,,"8,455,820,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,47,TN,TENNESSEE,,,,"5,629,954,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,48,TX,TEXAS,,,,"20,773,993,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,49,UT,UTAH,,,,"1,800,104,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,50,VT,VERMONT,,,,"685,372,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,51,VA,VIRGINIA,,,,"3,723,234,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,53,WA,WASHINGTON,,,,"4,354,524,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,54,WV,WEST VIRGINIA,,,,"1,325,672,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,55,WI,WISCONSIN,,,,"10,152,321,000"
1,1,6,1,ECONOMICS,"MACHINERY TOTALS - ASSET VALUE, MEASURED IN $",MACHINERY TOTALS,STATE,56,WY,WYOMING,,,,"1,508,809,000"
1,1,16,1,ECONOMICS,"AG LAND, CROPLAND - ACRES",AG LAND,STATE,38,ND,NORTH DAKOTA,,,,"27,951,676"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,34,NJ,NEW JERSEY,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"2,965"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,35,NM,NEW MEXICO,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"8,554"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,36,NY,NEW YORK,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"3,641"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,37,NC,NORTH CAROLINA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"5,112"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,38,ND,NORTH DAKOTA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),571
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,39,OH,OHIO,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"10,333"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,40,OK,OKLAHOMA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"4,853"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,41,OR,OREGON,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"12,536"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,42,PA,PENNSYLVANIA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"6,481"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,44,RI,RHODE ISLAND,,,AREA OPERATED: (1.0 TO 9.9 ACRES),379
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,45,SC,SOUTH CAROLINA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"3,289"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,46,SD,SOUTH DAKOTA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,237"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,47,TN,TENNESSEE,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"5,803"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,48,TX,TEXAS,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"27,889"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,49,UT,UTAH,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"6,181"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,50,VT,VERMONT,,,AREA OPERATED: (1.0 TO 9.9 ACRES),874
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,51,VA,VIRGINIA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"4,595"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,53,WA,WASHINGTON,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"11,523"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,54,WV,WEST VIRGINIA,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,928"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,55,WI,WISCONSIN,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"5,923"
1,1,8,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,STATE,56,WY,WYOMING,,,AREA OPERATED: (1.0 TO 9.9 ACRES),"1,168"
1,1,9,1,ECONOMICS,FARM OPERATIONS - NUMBER OF OPERATIONS,FARM OPERATIONS,NATIONAL,99,US,US TOTAL,,,AREA OPERATED: (10.0 TO 49.9 ACRES),"583,001"
